"fat_thickness [mm]","Freq [MHz]","VSWR(1) []"
7.5,345.14,8.24519806625372
7.5,346.63625,8.16462579836474
7.5,348.1325,8.084707294932
7.5,349.62875,8.00543858717112
7.5,351.125,7.92681520361333
7.5,352.62125,7.84883227052748
7.5,354.1175,7.77148459983578
7.5,355.61375,7.6947667655514
7.5,357.11,7.61867316977831
7.5,358.60625,7.54319809929567
7.5,360.1025,7.46833577371091
7.5,361.59875,7.39408038611258
7.5,363.095,7.32042613709203
7.5,364.59125,7.24736726293576
7.5,366.0875,7.1748980587213
7.5,367.58375,7.10301289698106
7.5,369.08,7.03170624253153
7.5,370.57625,6.96097266400252
7.5,372.0725,6.89080684254124
7.5,373.56875,6.82120357811154
7.5,375.065,6.75215779375779
7.5,376.56125,6.68366453815755
7.5,378.0575,6.6157189867455
7.5,379.55375,6.54831644165423
7.5,381.05,6.48145233068448
7.5,382.54625,6.41512220548809
7.5,384.0425,6.34932173912085
7.5,385.53875,6.28404672310004
7.5,387.035,6.21929306408111
7.5,388.53125,6.15505678025074
7.5,390.0275,6.09133399751827
7.5,391.52375,6.02812094557422
7.5,393.02,5.96541395387346
7.5,394.51625,5.90320944759051
7.5,396.0125,5.84150394358606
7.5,397.50875,5.78029404641656
7.5,399.005,5.71957644441261
7.5,400.50125,5.65934790584643
7.5,401.9975,5.59960527520425
7.5,403.49375,5.54034546957584
7.5,404.99,5.48156547516986
7.5,406.48625,5.42326234396133
7.5,407.9825,5.36543319047522
7.5,409.47875,5.30807518870809
7.5,410.975,5.25118556918851
7.5,412.47125,5.19476161617558
7.5,413.9675,5.13880066499364
7.5,415.46375,5.08330009950103
7.5,416.96,5.02825734968946
7.5,418.45625,4.97366988941063
7.5,419.9525,4.91953523422597
7.5,421.44875,4.86585093937537
7.5,422.945,4.81261459786046
7.5,424.44125,4.75982383863806
7.5,425.9375,4.70747632491909
7.5,427.43375,4.65556975256864
7.5,428.93,4.60410184860261
7.5,430.42625,4.55307036977664
7.5,431.9225,4.50247310126295
7.5,433.41875,4.45230785541124
7.5,434.915,4.40257247058934
7.5,436.41125,4.35326481010009
7.5,437.9075,4.30438276117075
7.5,439.40375,4.25592423401144
7.5,440.9,4.20788716093947
7.5,442.39625,4.1602694955664
7.5,443.8925,4.11306921204502
7.5,445.38875,4.06628430437369
7.5,446.885,4.01991278575531
7.5,448.38125,3.97395268800893
7.5,449.8775,3.9284020610317
7.5,451.37375,3.88325897230945
7.5,452.87,3.8385215064741
7.5,454.36625,3.79418776490638
7.5,455.8625,3.75025586538273
7.5,457.35875,3.70672394176506
7.5,458.855,3.66359014373257
7.5,460.35125,3.62085263655496
7.5,461.8475,3.57850960090636
7.5,463.34375,3.53655923271977
7.5,464.84,3.49499974308196
7.5,466.33625,3.45382935816871
7.5,467.8325,3.41304631922092
7.5,469.32875,3.37264888256202
7.5,470.825,3.33263531965746
7.5,472.32125,3.29300391721722
7.5,473.8175,3.25375297734278
7.5,475.31375,3.21488081771982
7.5,476.81,3.17638577185869
7.5,478.30625,3.13826618938453
7.5,479.8025,3.10052043637966
7.5,481.29875,3.06314689578079
7.5,482.795,3.0261439678344
7.5,484.29125,2.98951007061355
7.5,485.7875,2.95324364060024
7.5,487.28375,2.91734313333768
7.5,488.78,2.88180702415733
7.5,490.27625,2.84663380898618
7.5,491.7725,2.81182200524034
7.5,493.26875,2.77737015281162
7.5,494.765,2.74327681515462
7.5,496.26125,2.70954058048234
7.5,497.7575,2.67616006307977
7.5,499.25375,2.64313390474517
7.5,500.75,2.61046077637042
7.5,502.24625,2.5781393796728
7.5,503.7425,2.5461684490917
7.5,505.23875,2.51454675386556
7.5,506.735,2.48327310030578
7.5,508.23125,2.45234633428615
7.5,509.7275,2.42176534396854
7.5,511.22375,2.39152906278765
7.5,512.72,2.3616364727205
7.5,514.21625,2.33208660786868
7.5,515.7125,2.30287855838516
7.5,517.20875,2.27401147478062
7.5,518.705,2.24548457264839
7.5,520.20125,2.21729713785177
7.5,521.6975,2.1894485322223
7.5,523.19375,2.16193819982354
7.5,524.69,2.13476567384108
7.5,526.18625,2.10793058416692
7.5,527.6825,2.08143266575448
7.5,529.17875,2.0552717678294
7.5,530.675,2.029447864052
7.5,532.17125,2.00396106373845
7.5,533.6675,1.97881162426092
7.5,535.16375,1.95399996476152
7.5,536.66,1.92952668133112
7.5,538.15625,1.90539256382252
7.5,539.6525,1.88159861448769
7.5,541.14875,1.85814606865145
7.5,542.645,1.83503641765913
7.5,544.14125,1.81227143436289
7.5,545.6375,1.78985320144185
7.5,547.13375,1.76778414288309
7.5,548.63,1.74606705898557
7.5,550.12625,1.72470516528465
7.5,551.6225,1.70370213583236
7.5,553.11875,1.68306215130439
7.5,554.615,1.66278995243858
7.5,556.11125,1.64289089933788
7.5,557.6075,1.62337103718882
7.5,559.10375,1.60423716894904
7.5,560.6,1.58549693553657
7.5,562.09625,1.56715890399742
7.5,563.5925,1.54923266402345
7.5,565.08875,1.5317289330193
7.5,566.585,1.51465966965206
7.5,568.08125,1.49803819542833
