"fat_thickness [mm]","Freq [MHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,370.57625,167.540685556978,-170.134811240277
7.5,372.0725,166.641548380824,-168.387912004351
7.5,373.56875,165.743751925252,-166.650886953407
7.5,375.065,164.847338711389,-164.923673968486
7.5,376.56125,163.952353347005,-163.206212381703
7.5,378.0575,163.058842178913,-161.498442988955
7.5,379.55375,162.166852977316,-159.800308044457
7.5,381.05,161.276434649952,-158.111751240592
7.5,382.54625,160.387636983853,-156.432717675988
7.5,384.0425,159.500510412659,-154.763153814376
7.5,385.53875,158.615105807475,-153.103007436347
7.5,387.035,157.731474289372,-151.452227585829
7.5,388.53125,156.849667061726,-149.810764512807
7.5,390.0275,155.969735260715,-148.178569613561
7.5,391.52375,155.091729822384,-146.555595369482
7.5,393.02,154.215701364812,-144.941795285339
7.5,394.51625,153.34170008402,-143.33712382772
7.5,396.0125,152.469775662345,-141.741536364228
7.5,397.50875,151.59997718814,-140.154989103884
7.5,399.005,150.73235308571,-138.577439039132
7.5,400.50125,149.866951054516,-137.008843889703
7.5,401.9975,149.003818016743,-135.449162048563
7.5,403.49375,148.143000072421,-133.898352530108
7.5,404.99,147.284542461331,-132.356374920691
7.5,406.48625,146.428489531043,-130.823189331571
7.5,407.9825,145.574884710435,-129.298756354293
7.5,409.47875,144.723770488146,-127.783037018511
7.5,410.975,143.875188395452,-126.275992752238
7.5,412.47125,143.029178993085,-124.777585344475
7.5,413.9675,142.185781861597,-123.287776910178
7.5,415.46375,141.345035594857,-121.806529857484
7.5,416.96,140.50697779637,-120.333806857149
7.5,418.45625,139.671645078079,-118.869570814083
7.5,419.9525,138.839073061381,-117.413784840936
7.5,421.44875,138.0092963801,-115.966412233628
7.5,422.945,137.182348685188,-114.527416448729
7.5,424.44125,136.358262650942,-113.096761082629
7.5,425.9375,135.537069982564,-111.674409852376
7.5,427.43375,134.718801424879,-110.260326578124
7.5,428.93,133.90348677207,-108.854475167082
7.5,430.42625,133.091154878296,-107.4568195989
7.5,431.9225,132.281833669065,-106.067323912396
7.5,433.41875,131.475550153254,-104.685952193559
7.5,434.915,130.672330435681,-103.312668564738
7.5,436.41125,129.872199730142,-101.947437174954
7.5,437.9075,129.075182372826,-100.590222191268
7.5,439.40375,128.281301836045,-99.2409877911236
7.5,440.9,127.490580742218,-97.899698155617
7.5,442.39625,126.703040878046,-96.566317463624
7.5,443.8925,125.918703208827,-95.2408098867287
7.5,445.38875,125.137587892883,-93.9231395849003
7.5,446.885,124.359714296035,-92.6132707028638
7.5,448.38125,123.58510100611,-91.311167367117
7.5,449.8775,122.813765847438,-90.016793683547
7.5,451.37375,122.045725895324,-88.7301137356018
7.5,452.87,121.280997490453,-87.4510915829752
7.5,454.36625,120.519596253223,-86.179691260767
7.5,455.8625,119.761537097981,-84.9158767790803
7.5,457.35875,119.006834247142,-83.6596121230222
7.5,458.855,118.255501245188,-82.4108612530747
7.5,460.35125,117.507550972522,-81.1695881058047
7.5,461.8475,116.762995659175,-79.9357565948861
7.5,463.34375,116.021846898356,-78.7093306124036
7.5,464.84,115.284115659832,-77.4902740304169
7.5,466.33625,114.549812303146,-76.278550702758
7.5,467.8325,113.818946590645,-75.0741244670414
7.5,469.32875,113.091527700336,-73.8769591468656
7.5,470.825,112.367564238556,-72.687018554187
7.5,472.32125,111.647064252453,-71.5042664918462
7.5,473.8175,110.930035242278,-70.3286667562321
7.5,475.31375,110.216484173492,-69.1601831400671
