"fat_thickness [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
7.5,0.6,44,78,-34.3693677488972
7.5,0.6,44,80,-34.3305224678973
7.5,0.6,44,82,-34.2999826854911
7.5,0.6,44,84,-34.2775646947874
7.5,0.6,44,86,-34.2631660745958
7.5,0.6,44,88,-34.256762104238
7.5,0.6,44,90,-34.258401411669
7.5,0.6,44,92,-34.2682012174229
7.5,0.6,44,94,-34.2863425384237
7.5,0.6,44,96,-34.3130656931918
7.5,0.6,44,98,-34.3486664072654
7.5,0.6,44,100,-34.3934927594303
7.5,0.6,44,102,-34.4479431405958
7.5,0.6,44,104,-34.512465322731
7.5,0.6,44,106,-34.5875566597429
7.5,0.6,44,108,-34.6737653697863
7.5,0.6,44,110,-34.7716927834592
7.5,0.6,44,112,-34.8819963891121
7.5,0.6,44,114,-35.0053934700959
7.5,0.6,44,116,-35.1426651148247
7.5,0.6,44,118,-35.2946603951143
7.5,0.6,44,120,-35.4623005573354
7.5,0.6,44,122,-35.6465831595682
7.5,0.6,44,124,-35.8485862194843
7.5,0.6,44,126,-36.0694726130986
7.5,0.6,44,128,-36.3104951824492
7.5,0.6,44,130,-36.5730032677722
7.5,0.6,44,132,-36.8584516742902
7.5,0.6,44,134,-37.1684134160923
7.5,0.6,44,136,-37.504597957736
7.5,0.6,44,138,-37.868877118297
7.5,0.6,44,140,-38.2633213509511
7.5,0.6,44,142,-38.6902498281795
7.5,0.6,44,144,-39.1522987500116
7.5,0.6,44,146,-39.6525137065778
7.5,0.6,44,148,-40.1944740052863
7.5,0.6,44,150,-40.7824599835008
7.5,0.6,44,152,-41.4216790353399
7.5,0.6,44,154,-42.1185732567208
7.5,0.6,44,156,-42.8812425584296
7.5,0.6,44,158,-43.720033586859
7.5,0.6,44,160,-44.6483685282286
7.5,0.6,44,162,-45.6839173378338
7.5,0.6,44,164,-46.8502335342499
7.5,0.6,44,166,-48.1788835635999
7.5,0.6,44,168,-49.7114842338569
7.5,0.6,44,170,-51.4980588139789
7.5,0.6,44,172,-53.5743134951292
7.5,0.6,44,174,-55.842200408809
7.5,0.6,44,176,-57.6559209607729
7.5,0.6,44,178,-57.6591198666225
7.5,0.6,44,180,-55.8640995769459
10,0.6,44,0,-59.9381063992794
10,0.6,44,2,-56.9362655911912
10,0.6,44,4,-54.1203230219344
10,0.6,44,6,-51.8320333911457
