"fat_thickness [mm]","Freq [MHz]","dB(S(1,1)) []"
5,677.3075,-7.67248188215675
5,678.80375,-7.55636016013645
5,680.3,-7.44247062015275
5,681.79625,-7.33076864887584
5,683.2925,-7.2212112857712
5,684.78875,-7.11375721749238
5,686.285,-7.00836676896751
5,687.78125,-6.90500189143618
5,689.2775,-6.80362614753765
5,690.77375,-6.70420469340351
5,692.27,-6.60670425756534
5,693.76625,-6.51109311634984
5,695.2625,-6.41734106529952
5,696.75875,-6.32541938602518
5,698.255,-6.23530080776973
5,699.75125,-6.14695946284152
5,701.2475,-6.06037083496214
5,702.74375,-5.97551169947267
5,704.24,-5.89236005425783
5,705.73625,-5.81089504018616
5,707.2325,-5.73109684983303
5,708.72875,-5.65294662326089
5,710.225,-5.57642632968781
5,711.72125,-5.50151863399178
5,713.2175,-5.42820674718445
5,714.71375,-5.35647426025922
5,716.21,-5.28630496117915
5,717.70625,-5.21768263523531
5,719.2025,-5.15059084957612
5,720.69875,-5.08501272338688
5,722.195,-5.02093068597847
5,723.69125,-4.95832622591298
5,725.1875,-4.89717963522727
5,726.68375,-4.83746975378016
5,728.18,-4.77917371969929
5,729.67625,-4.72226673278336
5,731.1725,-4.6667218384584
5,732.66875,-4.61250974042097
5,734.165,-4.55959865035138
5,735.66125,-4.50795418297503
5,737.1575,-4.45753930423179
5,738.65375,-4.4083143393367
5,740.15,-4.36023704606995
5,741.64625,-4.31326275673439
5,743.1425,-4.26734458992146
5,744.63875,-4.22243373062605
5,746.135,-4.17847977447573
5,747.63125,-4.13543112904821
5,749.1275,-4.09323546261956
5,750.62375,-4.05184018839076
5,752.12,-4.0111929704475
5,753.61625,-3.97124223655189
5,755.1125,-3.93193768243593
5,756.60875,-3.89323075260329
5,758.105,-3.85507508372691
5,759.60125,-3.81742689847863
5,761.0975,-3.78024533992068
5,762.59375,-3.74349273926287
5,764.09,-3.70713481266685
5,765.58625,-3.67114078567481
5,767.0825,-3.63548344658339
5,768.57875,-3.60013913253011
5,770.075,-3.56508765410219
5,771.57125,-3.53031216584355
5,773.0675,-3.49579899110099
5,774.56375,-3.46153741021993
5,776.06,-3.42751942121511
5,777.55625,-3.39373948176265
5,779.0525,-3.3601942407643
5,780.54875,-3.32688226690124
5,782.045,-3.29380378060811
5,783.54125,-3.26096039482987
5,785.0375,-3.2283548688392
5,786.53375,-3.19599087834314
5,788.03,-3.16387280413451
5,789.52625,-3.13200554067069
5,791.0225,-3.10039432520913
5,792.51875,-3.06904458749741
5,794.015,-3.03796181950883
5,795.51125,-3.00715146432337
5,797.0075,-2.97661882296698
5,798.50375,-2.94636897783027
5,800,-2.91640673117292
7.5,201.5,-1.1146044896755
7.5,202.99625,-1.10847587714563
7.5,204.4925,-1.10370107419519
7.5,205.98875,-1.10016375138771
7.5,207.485,-1.09775373269145
7.5,208.98125,-1.09636794113349
7.5,210.4775,-1.09591088827426
7.5,211.97375,-1.09629482161181
7.5,213.47,-1.09743962412546
7.5,214.96625,-1.09927254154261
7.5,216.4625,-1.10172779644348
7.5,217.95875,-1.10474613433871
7.5,219.455,-1.10827433535497
7.5,220.95125,-1.11226471594102
7.5,222.4475,-1.11667463777234
7.5,223.94375,-1.12146603546917
7.5,225.44,-1.12660497054575
7.5,226.93625,-1.13206121590499
7.5,228.4325,-1.13780787294519
7.5,229.92875,-1.14382102176021
7.5,231.425,-1.1500794038315
7.5,232.92125,-1.15656413590294
7.5,234.4175,-1.16325845329985
7.5,235.91375,-1.17014748072371
7.5,237.41,-1.17721802846708
7.5,238.90625,-1.1844584120035
7.5,240.4025,-1.19185829298369
7.5,241.89875,-1.19940853978537
7.5,243.395,-1.20710110590405
7.5,244.89125,-1.21492892462089
7.5,246.3875,-1.22288581853315
7.5,247.88375,-1.23096642267459
7.5,249.38,-1.2391661200829
7.5,250.87625,-1.24748098878434
7.5,252.3725,-1.25590775925851
7.5,253.86875,-1.264443781517
7.5,255.365,-1.27308700097423
7.5,256.86125,-1.28183594230701
7.5,258.3575,-1.29068970048782
7.5,259.85375,-1.29964793813539
7.5,261.35,-1.30871088825444
7.5,262.84625,-1.31787936133454
7.5,264.3425,-1.32715475564967
7.5,265.83875,-1.33653906944917
7.5,267.335,-1.34603491356493
7.5,268.83125,-1.35564552278965
7.5,270.3275,-1.3653747642209
7.5,271.82375,-1.37522714063274
7.5,273.32,-1.3852077868519
7.5,274.81625,-1.39532245710211
7.5,276.3125,-1.40557750136097
7.5,277.80875,-1.41597982897239
7.5,279.305,-1.42653685809058
7.5,280.80125,-1.43725645000999
7.5,282.2975,-1.44814682805872
7.5,283.79375,-1.45921648148508
7.5,285.29,-1.47047405561827
7.5,286.78625,-1.48192823048623
7.5,288.2825,-1.4935875909648
7.5,289.77875,-1.50546049233941
7.5,291.275,-1.51755492580725
